idx,cell,variant,convoy,delay_s,throttle,rc,wall_s,status,collided,min_clearance_m,near_misses,progress_x_m,mean_abs_dsteer,mean_abs_dthrottle,collision_source,intervention_rate_pct
50,lead_brake@d0.15@t0.60,dob_aware,lead_brake,0.15,0.6,0,24.5,ok,0,5.23206,0,0.053615,0.20451477832512316,0.5940886699507388,chrono_body_contact,
51,lead_brake@d0.30@t0.60,none,lead_brake,0.3,0.6,0,24.2,ok,1,-1.868813,1,70.930331,,,chrono_body_contact,
52,lead_brake@d0.30@t0.60,dob_blind,lead_brake,0.3,0.6,0,24.5,ok,0,5.238789,0,0.0518,0.3309960591133005,0.5881773399014777,chrono_body_contact,
53,lead_brake@d0.30@t0.60,dob_aware,lead_brake,0.3,0.6,0,24.5,ok,0,5.237781,0,0.051266,0.16362807881773397,0.5881773399014777,chrono_body_contact,
54,rear_approach@d0.15@t0.60,none,rear_approach,0.15,0.6,0,24.6,ok,1,-2.717388,1,117.571582,,,chrono_body_contact,
55,rear_approach@d0.15@t0.60,dob_blind,rear_approach,0.15,0.6,0,24.4,ok,1,0.018431,1,24.571118,0.018962162162162163,0.2830499999999999,chrono_body_contact,
56,rear_approach@d0.15@t0.60,dob_aware,rear_approach,0.15,0.6,0,24.2,ok,1,-1.402138,1,94.012602,0.08459935483870967,0.3340387096774194,chrono_body_contact,
57,rear_approach@d0.30@t0.60,none,rear_approach,0.3,0.6,0,24.1,ok,1,-1.137131,1,15.518196,,,chrono_body_contact,
58,rear_approach@d0.30@t0.60,dob_blind,rear_approach,0.3,0.6,0,24.5,ok,1,-1.300222,1,103.069857,0.09136092715231789,0.3161092715231788,chrono_body_contact,
59,rear_approach@d0.30@t0.60,dob_aware,rear_approach,0.3,0.6,0,24.4,ok,1,-1.122367,1,50.377782,0.024397560975609755,0.36811219512195126,chrono_body_contact,
60,oncoming@d0.15@t0.80,none,oncoming,0.15,0.8,0,24.3,ok,1,-1.543554,1,110.929091,,,chrono_body_contact,
61,oncoming@d0.15@t0.80,dob_blind,oncoming,0.15,0.8,0,24.6,ok,0,-1.016108,2,103.773657,0.12744298245614036,0.2209763157894737,chrono_body_contact,
62,oncoming@d0.15@t0.80,dob_aware,oncoming,0.15,0.8,0,24.5,ok,0,-1.03675,2,65.803438,0.29607954545454546,0.5578522727272727,chrono_body_contact,
63,oncoming@d0.30@t0.80,none,oncoming,0.3,0.8,0,24.3,ok,1,-1.528723,1,34.905235,,,chrono_body_contact,
64,oncoming@d0.30@t0.80,dob_blind,oncoming,0.3,0.8,0,24.2,ok,0,-1.206542,2,99.022918,0.16154561403508771,0.22668771929824563,chrono_body_contact,
65,oncoming@d0.30@t0.80,dob_aware,oncoming,0.3,0.8,0,24.4,ok,0,-0.935877,2,60.854534,0.3333642857142857,0.5816857142857143,chrono_body_contact,
66,jam@d0.15@t0.80,none,jam,0.15,0.8,0,32.5,ok,1,-1.427819,1,27.897412,,,chrono_body_contact,
67,jam@d0.15@t0.80,dob_blind,jam,0.15,0.8,0,32.1,ok,0,1.309402,0,108.274899,0.05377041420118343,0.13205739644970418,chrono_body_contact,
68,jam@d0.15@t0.80,dob_aware,jam,0.15,0.8,0,35.4,ok,0,2.266716,0,106.82901,0.05032977528089888,0.12774044943820229,chrono_body_contact,
69,jam@d0.30@t0.80,none,jam,0.3,0.8,0,37.0,ok,1,-1.426439,1,29.067581,,,chrono_body_contact,
70,jam@d0.30@t0.80,dob_blind,jam,0.3,0.8,0,35.9,ok,0,1.258135,0,107.726515,0.0513622754491018,0.1300353293413174,chrono_body_contact,
71,jam@d0.30@t0.80,dob_aware,jam,0.3,0.8,0,38.4,ok,0,3.303645,0,105.324646,0.05681595092024539,0.14178773006134976,chrono_body_contact,
72,double_cut@d0.15@t0.80,none,double_cut,0.15,0.8,0,24.1,ok,1,-3.595728,1,90.891951,,,chrono_body_contact,
73,double_cut@d0.15@t0.80,dob_blind,double_cut,0.15,0.8,0,24.6,ok,0,5.512737,0,97.456927,0.06941619718309859,0.20446690140845075,chrono_body_contact,
74,double_cut@d0.15@t0.80,dob_aware,double_cut,0.15,0.8,0,24.6,ok,0,4.917206,0,109.439119,0.04393132530120482,0.18530421686746992,chrono_body_contact,
75,double_cut@d0.30@t0.80,none,double_cut,0.3,0.8,0,24.6,ok,1,-2.804122,1,95.632487,,,chrono_body_contact,
76,double_cut@d0.30@t0.80,dob_blind,double_cut,0.3,0.8,0,24.6,ok,0,6.421043,0,102.294894,0.06477162162162162,0.17753040540540546,chrono_body_contact,
77,double_cut@d0.30@t0.80,dob_aware,double_cut,0.3,0.8,0,24.5,ok,0,6.548629,0,107.729867,0.05011420118343195,0.1842763313609468,chrono_body_contact,
78,lead_brake@d0.15@t0.80,none,lead_brake,0.15,0.8,0,24.3,ok,1,-3.341042,1,79.34264,,,chrono_body_contact,
79,lead_brake@d0.15@t0.80,dob_blind,lead_brake,0.15,0.8,0,24.4,ok,0,5.233938,0,0.055042,0.26967783251231525,0.7921182266009852,chrono_body_contact,
80,lead_brake@d0.15@t0.80,dob_aware,lead_brake,0.15,0.8,0,25.6,ok,0,5.234956,0,0.054155,0.199971921182266,0.7921182266009852,chrono_body_contact,
81,lead_brake@d0.30@t0.80,none,lead_brake,0.3,0.8,0,24.0,ok,1,-2.419495,1,37.122399,,,chrono_body_contact,
82,lead_brake@d0.30@t0.80,dob_blind,lead_brake,0.3,0.8,0,24.5,ok,0,5.234395,0,0.052438,0.271876354679803,0.7842364532019704,chrono_body_contact,
83,lead_brake@d0.30@t0.80,dob_aware,lead_brake,0.3,0.8,0,24.4,ok,0,5.235059,0,0.052797,0.1939832512315271,0.7842364532019704,chrono_body_contact,
84,rear_approach@d0.15@t0.80,none,rear_approach,0.15,0.8,0,24.0,ok,1,-0.491474,1,47.926118,,,chrono_body_contact,
85,rear_approach@d0.15@t0.80,dob_blind,rear_approach,0.15,0.8,0,24.3,ok,1,-0.571229,1,124.065395,0.010309278350515464,0.3809365979381444,chrono_body_contact,
86,rear_approach@d0.15@t0.80,dob_aware,rear_approach,0.15,0.8,0,24.3,ok,1,-1.368096,1,78.876568,0.06515865921787709,0.2952586592178771,chrono_body_contact,
87,rear_approach@d0.30@t0.80,none,rear_approach,0.3,0.8,0,24.0,ok,1,-0.520894,1,41.457397,,,chrono_body_contact,
88,rear_approach@d0.30@t0.80,dob_blind,rear_approach,0.3,0.8,0,24.2,ok,1,-1.382577,1,82.44544,0.04892546583850932,0.3162223602484472,chrono_body_contact,
89,rear_approach@d0.30@t0.80,dob_aware,rear_approach,0.3,0.8,0,25.1,ok,1,-1.366455,1,89.830483,0.06937499999999999,0.3421506756756757,chrono_body_contact,
