variant,terrain,path,bumpiness,seed,status,mean_u_window,max_cte_window,x_max_m,window_rows,sim_port,attempts
aggressive,sand,right_left,4,403,ok,5.835239603960396,0.249778,75.469809,303,33500,1
aggressive,sand,right_left,4,404,ok,5.828238141025641,0.233234,75.23672,312,33750,1
aggressive,sand,right_left,8,400,ok,5.585433542319749,0.246067,74.805848,319,34000,1
aggressive,sand,right_left,8,401,ok,5.6124534810126585,0.256051,75.088472,316,34250,1
aggressive,sand,right_left,8,402,ok,5.630831441048036,0.192882,75.094782,458,32500,1
aggressive,sand,right_left,8,403,ok,5.579255194805194,0.278778,75.01332,462,32750,1
aggressive,sand,right_left,8,404,ok,5.61927385620915,0.193176,75.321006,459,33000,1
aggressive,sand,sinusoidal,0,400,ok,5.569978916827853,0.303567,155.955832,517,34000,1
aggressive,sand,sinusoidal,0,401,ok,5.566682995951417,0.301742,156.074066,494,34250,1
aggressive,sand,sinusoidal,0,402,ok,5.575679289940829,0.290174,155.944703,507,32500,1
aggressive,sand,sinusoidal,0,403,ok,5.568111067961165,0.243801,156.059033,515,32750,1
aggressive,sand,sinusoidal,0,404,ok,5.578042476190477,0.284366,156.144165,525,33000,1
aggressive,sand,sinusoidal,4,400,ok,5.5813731141199225,0.253605,155.917157,517,33250,1
aggressive,sand,sinusoidal,4,401,ok,5.569419427402863,0.30006,155.943725,489,33500,1
aggressive,sand,sinusoidal,4,402,ok,5.585384658040665,0.314039,155.985566,541,33750,1
aggressive,sand,sinusoidal,4,403,ok,5.575311175337187,0.275423,155.878548,519,34000,1
aggressive,sand,sinusoidal,4,404,ok,5.578174181117534,0.263363,156.000783,519,34250,1
aggressive,sand,sinusoidal,8,400,ok,5.411965094339623,0.305691,156.003598,530,32500,1
aggressive,sand,sinusoidal,8,401,ok,5.4043988505747125,0.299472,156.045018,522,32750,1
aggressive,sand,sinusoidal,8,402,ok,5.415275724637682,0.302795,155.981356,552,33000,1
aggressive,sand,sinusoidal,8,403,ok,5.409459203036053,0.265282,156.068484,527,33250,1
aggressive,sand,sinusoidal,8,404,ok,5.399545297504799,0.275446,156.108274,521,33500,1
conservative,clay,lane_change,0,400,ok,7.088075163398693,0.248162,88.312152,153,33500,1
conservative,clay,lane_change,0,401,ok,6.991665100671141,0.13309,86.766629,149,33750,1
conservative,clay,lane_change,0,402,ok,7.037034666666665,0.202137,87.068352,150,34000,1
