slip_ratio,slip_angle,velocity,vertical_load,steering_rate,d_slip_ratio,d_slip_angle,d_velocity,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy,My,sinkage,kappa_cmd,alpha_cmd,velocity_cmd
-0.553196,-0.021846,4.981166,2616.816717,0.091827,0.090979,0.822528,-1.452133,1912190.002872,5032.522602,0.802912,17341.287615,0.282777,0.014215,0.114402,2656.820295,-1164.581017,72.471098,365.844747,0.020158,-0.548246,-0.076945,4.952515
0.771155,0.071502,6.083577,4138.173554,-0.169652,0.277377,0.000631,0.975868,989972.386930,12033.485305,0.726691,17909.161146,0.627816,0.012400,0.114352,4394.860480,2656.726295,-2124.942276,-1613.285304,0.025677,0.749583,0.300629,6.132939
0.474782,0.001921,4.663850,4630.003489,-0.288704,-0.234546,-0.006296,-0.983681,3808930.659094,3765.801465,1.100655,8454.778207,0.347315,0.010119,0.085149,4497.090003,1754.723738,-59.943906,-1210.123102,0.033111,0.456918,0.007007,4.749509
0.022940,0.010711,4.077129,2570.736172,0.310666,-0.227178,0.554390,-1.350770,3695928.290774,8020.451985,0.827139,14345.702686,0.467475,0.016156,0.117907,2519.945684,93.662804,-175.962017,-162.762159,0.009153,0.053202,0.040129,3.983139
-0.602319,-0.027959,5.413714,6767.985893,0.119165,-0.118720,-0.001454,0.820472,3399700.942016,13859.924088,0.566794,17880.195824,0.190152,0.020436,0.113165,6915.418547,-1567.842428,97.929926,451.649168,0.008765,-0.597900,-0.095150,5.378879
-0.394930,-0.070570,4.725128,4761.551766,0.027256,0.119132,0.003678,0.606693,3582721.723398,3594.661067,0.526809,13617.568860,0.561775,0.023701,0.104293,4837.650498,-1817.069695,719.462514,730.523953,0.004305,-0.396265,-0.284183,4.717823
-0.608598,0.025872,6.994393,7166.037950,0.045246,-0.191877,0.000759,-0.552996,2953014.744347,5456.504254,0.536987,20415.976062,0.377934,0.018038,0.082350,7169.810026,-2867.778894,-643.045284,1069.541474,0.010197,-0.607688,0.380461,6.981473
-0.403584,0.029635,4.676980,3725.582365,0.281445,0.144982,-0.007664,-0.412533,2963914.236450,2432.850719,0.499277,1088.424285,0.298947,0.023213,0.086368,3639.614496,-584.688910,-222.965161,167.271827,0.003922,-0.392309,0.290953,4.595780
-0.641997,-0.003591,3.968282,3125.820621,-0.210746,0.276880,-0.005002,-0.935924,2822478.799406,17787.334585,0.311822,20116.793679,0.165257,0.024021,0.095197,3220.648602,-392.269394,51.123702,143.087982,-0.001783,-0.644978,-0.227683,4.029014
-0.403288,0.063860,7.698283,6168.651624,-0.523649,-0.364329,-0.003758,-0.998081,665598.377339,2521.775950,1.151263,11340.296203,0.589851,0.016067,0.087814,6234.774344,-4135.010022,-1591.592902,815.154306,0.099733,-0.416852,0.304511,7.847414
-0.188475,0.029490,7.013013,5735.711773,0.009419,0.278944,0.000112,0.893142,1872421.796808,10520.510922,0.792229,11308.413009,0.536346,0.013271,0.080762,5583.690225,-2403.834074,-1471.969498,620.141446,0.029834,-0.187715,0.164186,7.011140
