slip_ratio,slip_angle,velocity,vertical_load,steering_rate,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy
-0.035642,-0.290080,8.563056,7377.686962,-0.192040,2275536.795600,652.933599,1.126173,11878.143757,0.360001,0.014722,0.095575,7055.963528,-892.620717,2337.752386
0.237478,0.000831,8.686978,2750.116827,0.000631,594017.198170,401.116942,0.420942,6140.066257,0.295120,0.020342,0.106831,2987.944869,409.493939,-1.806386
0.957313,-0.395822,2.658498,5811.281794,-0.534440,1707267.946028,565.740107,0.878444,6255.810593,0.459580,0.012594,0.117687,6095.640508,2328.442177,2090.883217
0.386942,-0.423123,2.971629,4416.765617,-0.225538,870786.446304,11307.798676,1.161541,6397.297339,0.335679,0.018312,0.087045,4377.464608,586.063740,1444.150203
0.029977,-0.225915,8.837921,5395.065539,-0.137414,3258663.386647,12580.250064,0.317296,16246.943389,0.141669,0.011265,0.094587,6574.557829,16.703899,538.135853
0.965279,0.022424,7.013728,3094.383962,0.011577,3249554.907275,6036.571148,0.977182,13867.261647,0.649889,0.023517,0.107863,3504.484454,2482.977406,-114.800292
0.472753,-0.310060,2.010078,2874.469448,-0.264260,587064.362647,6248.965490,0.844410,12358.811343,0.400770,0.015762,0.099320,3093.866521,1144.723621,1241.557264
0.956801,0.027970,8.286702,3577.640608,0.027580,2386500.969319,11284.651747,1.027433,5251.877083,0.628840,0.020919,0.096068,3103.073403,1792.443281,-103.674865
-0.504063,-0.571102,9.925725,5959.570883,-0.313371,1565248.307303,11951.601184,1.252955,8461.355606,0.248595,0.013769,0.117966,5936.158363,-1758.691703,747.261279
-0.386259,-0.356772,3.643038,5370.343925,-0.348505,2941712.740673,247.064694,0.529494,9692.555942,0.433794,0.016862,0.102088,4752.561345,-1460.274389,804.437672
-0.691712,-0.030973,3.184318,3263.511583,-0.037916,795725.226909,17353.404126,0.471398,3294.153020,0.633578,0.021493,0.085867,3328.925088,-2065.819559,26.759413
0.215897,0.470326,4.210933,5230.144795,0.438394,3201673.533016,6892.713255,1.220432,5180.071168,0.120568,0.014493,0.100907,5415.660655,29.947423,-784.375029
0.372867,0.083314,2.742997,2593.504970,0.047369,1089236.506255,3215.917434,0.520612,9891.262048,0.339903,0.019253,0.080305,2239.414848,467.948358,-149.016635
-0.899337,0.342152,9.897561,4154.294515,0.187714,988368.803422,12195.673705,1.111083,5116.454841,0.442633,0.023608,0.115739,4312.157731,-2214.056438,-66.928883
-0.620534,0.292091,8.265511,5926.385749,0.324135,1154617.386113,6832.557572,0.359477,7898.014948,0.232649,0.014653,0.092752,5735.101538,-1310.628559,-206.983942
0.581599,-0.101918,5.617848,2632.943970,-0.066711,2070310.204537,12685.602957,0.561471,13658.443353,0.121695,0.018300,0.092183,2618.059544,416.911573,116.759706
0.880726,0.017026,5.553391,6265.160739,0.030266,3423600.663577,14278.491567,0.603611,10576.190807,0.286166,0.014160,0.106371,5896.595700,1889.908457,-68.608290
-0.745965,0.098814,2.456950,6023.848233,0.051222,2041265.515884,4115.763000,0.896141,3614.263463,0.283136,0.014660,0.088327,5981.512593,-1884.743271,-53.871112
0.517635,-0.570958,9.634298,7067.704469,-0.366734,698739.606380,14462.063130,0.644952,1659.701404,0.233102,0.021514,0.115401,6967.668234,413.972554,1309.735272
-0.026981,0.305460,4.840873,3687.547829,0.472391,3842960.755097,4.815228,1.170694,3188.170515,0.155237,0.024235,0.091052,3862.441904,-165.987396,-381.778416
0.136094,0.178229,4.828140,5628.936983,0.208510,3643770.402184,6186.619683,1.107642,7934.734135,0.331043,0.019343,0.099018,5961.145165,555.666666,-1280.742265
-0.250791,0.229595,5.306398,3071.990482,0.142325,2658680.052934,9991.769525,1.194328,3872.042249,0.299474,0.017693,0.098126,3121.675327,-722.551501,-398.248115
-0.954758,-0.172763,9.443144,4366.170837,-0.233540,3413228.728844,15696.049139,1.040939,8711.482440,0.560220,0.022250,0.100039,4147.548824,-2931.272576,21.688830
0.759803,0.022335,6.082660,6161.068797,0.018111,3612417.543764,19237.599286,0.948132,20613.602138,0.576458,0.014202,0.115866,5539.633718,4005.602989,-210.970160
0.494623,-0.472509,2.486846,5271.395406,-0.239375,3971984.384014,4834.901866,0.611218,8295.109183,0.212756,0.017237,0.093985,4802.183832,495.021995,971.285077
0.273651,0.388678,3.516950,3158.468703,0.246441,1610668.123876,5596.837653,1.252115,11677.903670,0.366499,0.016188,0.108299,3049.786460,327.081357,-1294.514586
0.647650,-0.508449,3.285032,3960.421719,-0.385097,3286373.618917,17617.007334,0.731715,14651.437479,0.243131,0.011648,0.115538,3835.679043,595.904060,1048.493377
